浴びる 	abiru	 to take a shower
覚える 	oboeru	 to memorize, to remember
お茶 	ocha	 tea
お風呂 	ofuro	 bath
美味しい 	oishii	 delicious, tasty
お母さん 	okaasan	 mother
お金 	okane	 money
お菓子 	okashi	 sweets, candy
起きる 	okiru	 to get up, to rise
置く 	oku	 to put, to place
奥さん 	okusan	 wife, your wife, his wife
お巡りさん 	omawarisan	 police officer
重い 	omoi	 heavy, weighty
面白い 	omoshiroi	 interesting, fascinating
お腹 	onaka	 stomach
音楽 	ongaku	 music
女 	onna	 female, woman
同じ 	onaji	 same, identical
お姉さん 	oneesan	 elder sister
お兄さん 	oniisan	 elder brother
女の子 	onna no ko	 girl
多い 	ooi	 many, numerous, a lot
大きい 	ookii	 big, large, great
大勢 	oozei	 many, crowd, great number of people
降りる 	oriru	 to descend, to get off
お皿 	osara	 plate, dish
教える 	oshieru	 to teach, to instruct
遅い 	osoi	 slow, late
押す 	osu	 to push, to press
お手洗い 	otearai	 toilet, restroom
男 	otoko	 man, male
男の子 	otoko no ko	 boy
大人 	otona	 adult
一昨日 	ototoi	 day before yesterday
お父さん 	otousan	 father, dad
一昨年 	ototoshi	 year before last
弟 	otouto	 younger brother
終わる 	owaru	 to finish, to end
泳ぐ 	oyogu	 to swim
来月 	raigetsu	 next month
来年 	rainen	 next year
来週 	raishuu	 next week
冷蔵庫 	reizouko	 refrigerator
練習 	renshuu	 practice
六 	roku	 six
廊下 	rouka	 corridor, hallway
旅行 	ryokou	 travel, trip
料理 	ryouri	 cooking, cuisine
両親 	ryoushin	 parents, both parents
留学生 	ryuugakusei	 overseas student
歳 	sai	 years old
財布 	saifu	 purse, wallet
魚 	sakana	 fish
酒 	sake	 alcohol, sake
先 	saki	 previous, prior, former
咲く 	saku	 to bloom
作文 	sakubun	 writing 	an essay, composition
寒い 	samui	 cold
三 	san	 three
散歩 	sanpo	 walk, stroll
再来年 	sarainen	 year after next
砂糖 	satou	 sugar
背 	se	 height, stature
背広 	sebiro	 business suit
生徒 	seito	 pupil
石鹸 	sekken	 soap
狭い 	semai	 narrow, confined
千 	sen	 thousand
先月 	sengetsu	 last month
先生 	sensei	 teacher, master, doctor
先週 	senshuu	 last week
洗濯 	sentaku	 washing, laundry
四 	shi, yon	 four
七 	shichi, nana	 seven
写真 	shashin	 photograph, photo, picture
仕事 	shigoto	 work, job
閉まる 	shimaru	 to be shut, to close
閉める 	shimeru	 to close, to shut
締める 	shimeru	 to tie, to fasten
新聞 	shinbun	 newspaper
死ぬ 	shinu	 to die, to pass away
塩 	shio	 salt
